"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","japanese","portuguese",
"str_cfgvehicles_weldingmask1","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.","Protect the eyes, face and neck from ultraviolet light, sparks and heat while welding.",
"str_cfgvehicles_weldingmask0","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask","Welding Mask",
"str_cfgvehicles_ushanka_green0","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic green coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.",
"str_cfgvehicles_ushanka_colorbase1","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.","A classic hat made from dyed animal fur with ear flaps to protect against the cold.",
"str_cfgvehicles_ushanka_colorbase0","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka","Ushanka",
"str_cfgvehicles_ushanka_blue0","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic blue coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.",
"str_cfgvehicles_ushanka_black0","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.","$UNT$A classic black coloured Russian hat made from black dyed animal or artificial fur with ear flaps to protect against the cold. It is also known as a trooper or trapper's hat.",
"str_cfgvehicles_tankerhelmet1","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.","Used by tank crews. Bumpers provide head protection inside a jolting vehicle, but little else.",
"str_cfgvehicles_tankerhelmet0","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet","Tanker Helmet",
"str_cfgvehicles_ssh68helmet1","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.","Helmet used during combat situations. Provides head protection from impact, shock, and shrapnels.",
"str_cfgvehicles_ssh68helmet0","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet","Combat Helmet",
"str_cfgvehicles_skatehelmet_red0","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Red coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.",
"str_cfgvehicles_skatehelmet_green0","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Green coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.",
"str_cfgvehicles_skatehelmet_gray0","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Grey coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.",
"str_cfgvehicles_skatehelmet_colorbase1","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.","A durable skate helmet. Absorbs impacts nicely, but does not offer much protection from cold or rain.",
"str_cfgvehicles_skatehelmet_colorbase0","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet","Skate Helmet",
"str_cfgvehicles_skatehelmet_blue0","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Blue coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.",
"str_cfgvehicles_skatehelmet_black0","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.","$UNT$Black coloured skate helmet hardshell construction utilizes a durable, high-density, injection-moulded ABS shell, ideal for an aggressive riding style, In-Mold construction fuses a lightweight polycarbonate outer shell with the helmet’s impact-absorbing EPS foam liner. This method of construction provides the optimal balance of protection and low-profile style without any excess weight.",
"str_cfgvehicles_radarcap_red0","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.","$UNT$A red coloured warm hat that covers most of the head, including ears and forehead.",
